medcodeid,observations,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,eth16,eth5,lshtm_2102,lshtm_2414,lshtm_4214,oc_opensafely_ethnicity
"158341000000117",20000000,"9i0","9i0..00","92391000000108","158341000000117","British or mixed British - ethnic category 2001 census","British","White",1,1,1,1
"1063981000000117",8000000,"9i00","9i00.00","494131000000105","1063981000000117","White British - ethnic category 2001 census","British","White",1,1,1,1
"459726019",7000000,"9S10","9S10.00","315236000","459726019","White British","British","White",1,1,1,1
"1968051000006116",2000000,"9t00","9t00.00","976631000000101","2484631000000115","White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census","British","White",1,1,1,1
"157281000000117",800000,"9i20","9i20.00","110761000000106","157281000000117","English - ethnic category 2001 census","British","White",1,1,1,1
"1780408016",30000,"9S14","9S14.00","401214002","1780408016","Other white British ethnic group","British","White",1,1,1,1
"141431000000111",30000,"9i21","9i21.00","92541000000108","141431000000111","Scottish - ethnic category 2001 census","British","White",1,1,1,1
"141451000000116",20000,"9i24","9i24.00","92561000000109","141451000000116","Northern Irish - ethnic category 2001 census","British","White",1,1,1,1
"1780407014",10000,"9S13","9S13.00","401213008","1780407014","White Scottish","British","White",1,1,1,1
"141441000000119",10000,"9i22","9i22.00","92551000000106","141441000000119","Welsh - ethnic category 2001 census","British","White",1,1,1,1
"141461000000118",7000,"9i23","9i23.00","92571000000102","141461000000118","Cornish - ethnic category 2001 census","British","White",1,1,1,1
"2487321000000116",6000,"9t21","9t21.00","977931000000106","2487321000000116","White: other British - Scotland ethnic category 2011 census","British","White",1,1,1,1
"2486161000000112",1000,"9t10","9t10.00","977351000000100","2486161000000112","White - Northern Ireland ethnic category 2011 census","British","White",1,1,1,1
"2487281000000112",300,"9t20","9t20.00","977911000000103","2487281000000112","White: Scottish - Scotland ethnic category 2011 census","British","White",1,1,1,1
"142691000000116",100,"9i25","9i25.00","93921000000101","142691000000116","Ulster Scots - ethnic category 2001 census","British","White",1,1,1,1
"2912851000006114",80,"^ESCTEN291285","","25804004","43237016","English","British","White",,,,1
"2737641000006113",5,"^ESCTWE273764","","14999008","25461019","Welsh","British","White",,,,1
"1564391000006113",1,"EMISNQBR12","","1564391000006109","1564391000006113","British","British","White",1,1,,
"141301000000110",300000,"9i1","9i1..00","92401000000106","141301000000110","Irish - ethnic category 2001 census","Irish","White",1,1,1,1
"459727011",100000,"9S11","9S11.00","315237009","459727011","White Irish","Irish","White",1,1,1,1
"1064041000000111",90000,"9i10","9i10.00","494161000000100","1064041000000111","White Irish - ethnic category 2001 census","Irish","White",1,1,1,1
"2484671000000118",20000,"9t01","9t01.00","976651000000108","2484671000000118","White: Irish - England and Wales ethnic category 2011 census","Irish","White",1,1,1,1
"285978014",5000,"9SA9","9SA9.00","186014006","285978014","Irish (NMO)","Irish","White",1,1,1,1
"2487361000000112",80,"9t22","9t22.00","977951000000104","2487361000000112","White: Irish - Scotland ethnic category 2011 census","Irish","White",1,1,1,1
"1564961000006118",1,"EMISNQIR3","","1564961000006102","1564961000006118","Irish","Irish","White",1,1,,
"141311000000112",3000000,"9i2","9i2..00","92411000000108","141311000000112","Other White background - ethnic category 2001 census","Other White","White",1,1,1,1
"285925010",2000000,"9S1","9S1..00","185984009","285925010","White","Other White","White",1,1,1,1
"459728018",600000,"9S12","9S12.00","185984009","285926011","White - ethnic group","Other White","White",1,1,1,1
"937391000006115",300000,"9i2R","9i2R.00","94041000000106","142801000000110","Other White European or European unspecified or Mixed European - ethnic category 2001 census","Other White","White",1,1,1,1
"138201000000110",200000,"9i2F","9i2F.00","88941000000100","138201000000110","Polish - ethnic category 2001 census","Other White","White",1,1,1,1
"937411000006115",200000,"9i2T","9i2T.00","94051000000109","158491000000118","Other White or White unspecified - ethnic category 2001 census","Other White","White",1,1,1,1
"1968081000006112",200000,"9t03","9t03.00","976691000000100","2484751000000118","White: any other White background - England and Wales ethnic category 2011 census","Other White","White",1,1,1,1
"156921000000110",100000,"9i29","9i29.00","110401000000103","156921000000110","Turkish - ethnic category 2001 census","Other White","White",1,1,1,1
"196641000006110",80000,"134B","134B.00","413773004","2537215011","Caucasian race","Other White","White",1,1,1,1
"158481000000115",70000,"9i2B","9i2B.00","93961000000109","158481000000115","Italian - ethnic category 2001 census","Other White","White",1,1,1,1
"937301000006110",60000,"9i2G","9i2G.00","88951000000102","138211000000112","Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census","Other White","White",1,1,1,1
"285987017",40000,"9SAC","9SAC.00","186017004","285987017","Other European (NMO)","Other White","White",1,1,1,1
"142791000000111",40000,"9i2S","9i2S.00","94031000000102","142791000000111","Other mixed White - ethnic category 2001 census","Other White","White",1,1,1,1
"2537217015",30000,"134N","134N.00","413773004","2537217015","Race: White","Other White","White",,,1,1
"1158211000000111",30000,"9T4","9T4..00","445343003","2872780011","Romanian","Other White","White",,,,1
"138191000000113",30000,"9i2E","9i2E.00","88931000000109","138191000000113","Gypsy/Romany - ethnic category 2001 census","Other White","White",1,1,1,1
"138231000000116",30000,"9i2K","9i2K.00","88971000000106","138231000000116","Albanian - ethnic category 2001 census","Other White","White",1,1,1,1
"142701000000116",30000,"9i27","9i27.00","93931000000104","142701000000116","Greek - ethnic category 2001 census","Other White","White",1,1,1,1
"405071018",10000,"9SAB","9SAB.00","270467002","405071018","Turkish/Turkish Cypriot (NMO)","Other White","White",1,1,1,1
"937311000006113",10000,"9i2H","9i2H.00","88961000000104","138221000000118","Commonwealth of (Russian) Independent States - ethnic category 2001 census","Other White","White",1,1,1,1
"142711000000119",10000,"9i28","9i28.00","93941000000108","142711000000119","Greek Cypriot - ethnic category 2001 census","Other White","White",1,1,1,1
"142721000000113",10000,"9i2A","9i2A.00","93951000000106","142721000000113","Turkish Cypriot - ethnic category 2001 census","Other White","White",1,1,1,1
"250227018",9000,"1346","1346.00","160518001","250227018","Australian origin","Other White","White",,,1,
"138181000000111",8000,"9i2D","9i2D.00","88921000000107","138181000000111","Traveller - ethnic category 2001 census","Other White","White",1,1,1,1
